Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW00-00-257-1,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-h.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-i.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-j.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-1-k.jpg,Vildt fantastisk Universal Silikone Urrem - Sort#serie_1,2,MERGE
LCW00-00-257-2,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-2-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-2-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-2-e.jpg,Vildt fantastisk Universal Silikone Urrem - Sort#serie_2,2,MERGE
LCW00-00-257-3,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-3-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-3-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-3-e.jpg,Vildt fantastisk Universal Silikone Urrem - Hvid#serie_3,2,MERGE
LCW00-00-257-4,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-4-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-4-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-4-e.jpg,Vildt fantastisk Universal Silikone Urrem - Sølv#serie_4,2,MERGE
LCW00-00-257-5,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-5-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-5-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-5-e.jpg,Vildt fantastisk Universal Silikone Urrem - Pink#serie_5,2,MERGE
LCW00-00-257-6,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-6.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-6-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-6-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-6-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-6-e.jpg,Vildt fantastisk Universal Silikone Urrem - Rød#serie_6,2,MERGE
LCW00-00-257-7,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-7.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-7-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-7-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-7-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-7-e.jpg,Vildt fantastisk Universal Silikone Urrem - Grøn#serie_7,2,MERGE
LCW00-00-257-8,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-8.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-8-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-8-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-8-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-8-e.jpg,Vildt fantastisk Universal Silikone Urrem - Blå#serie_8,2,MERGE
LCW00-00-257-9,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-9.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-9-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-9-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-9-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-9-e.jpg,Vildt fantastisk Universal Silikone Urrem - Sort#serie_9,2,MERGE
LCW00-00-257-10,https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-10.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-10-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-10-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-10-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-257-10-e.jpg,Vildt fantastisk Universal Silikone Urrem - Blå#serie_10,2,MERGE
