Handle,Command,Title,Body HTML,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Metafield: title_tag [string],Metafield: description_tag [string]
fitbit-alta-hr-1,MERGE,Fitbit Alta HR 1,,all conditions,Tag,Equals,Fitbit Alta HR 1,"Fitbit Alta HR 1 Remme | Hurtig & Gratis Fragt over 199,-",Stort udvalg af remme til Fitbit Alta HR 1. Danmarks Største udvalg af Smartwatch urremme. Vi sender inden kl. 15 i dag.
fitbit-charge-hr-1,MERGE,Fitbit Charge HR 1,,all conditions,Tag,Equals,Fitbit Charge HR 1,Fitbit Charge HR 1 Urremme | Kæmpestort Udvalg,"Kæmpe Udvalg af Fitbit Charge HR 1 Urremme. Køb for 199,- og vi betaler Fragten. Hurtigt Service. Danmarks Største Udvalg af Remme."
fitbit-versa-lite-1,MERGE,Fitbit Versa Lite 1,,all conditions,Tag,Equals,Fitbit Versa Lite 1,"Fitbit Versa Lite 1 Remme | Fri Levering over 199,-",Stort Sortiment af Fitbit Versa Lite 1 Urremme. Hurtig Levering. Bedste udvalg og høj service. Find din nye rem i dag.
garmin-instinct-1,MERGE,Garmin Instinct 1,,all conditions,Tag,Equals,Garmin Instinct 1,"Garmin Instinct 1 Urremme | Stort Udvalg - Fri Fragt over 199,-",Lækre remme til Garmin Instinct 1. Kæmpe Udvalg. Hurtig Levering og FRI Fragt over 199kr.
garmin-vivomove-luxe-1,MERGE,Garmin Vivomove Luxe 1,,all conditions,Tag,Equals,Garmin Vivomove Luxe 1,Garmin Vivomove Luxe 1 Remme | Danmarks Største Udvalg af remme til Garmin Vivomove Luxe 1,"Uremme til Garmin Vivomove Luxe 1 hos Danmarks Største Udvalg. Bestil inden. Kl 15 og vi sender i Dag. Køb for mere end 199,- og du får Gratis Fragt."
