name,keywords,negative_keywords
Motorola Moto 360 (3rd Gen),"Motorola Moto 360 (3rd Gen) rem, Motorola Moto 360 (3rd Gen) remme, Motorola Moto 360 (3rd Gen) urrem, Motorola Moto 360 (3rd Gen) urremme, Motorola Moto 360 (3rd Gen) tilbehør, Motorola Moto 360 (3rd Gen) armbånd, Motorola Moto 360 (3rd Gen) sportsrem, Motorola Moto 360 (3rd Gen) sportsremme, rem til Motorola Moto 360 (3rd Gen), remme til Motorola Moto 360 (3rd Gen), Urrem til Motorola Moto 360 (3rd Gen), urremme til Motorola Moto 360 (3rd Gen), tilbehør til Motorola Moto 360 (3rd Gen), armbånd til Motorola Moto 360 (3rd Gen), sportsrem til Motorola Moto 360 (3rd Gen), sportsremme til Motorola Moto 360 (3rd Gen)",[Motorola Moto 360 (3rd Gen)]
Huawei Watch D,"Huawei Watch D rem, Huawei Watch D remme, Huawei Watch D urrem, Huawei Watch D urremme, Huawei Watch D tilbehør, Huawei Watch D armbånd, Huawei Watch D sportsrem, Huawei Watch D sportsremme, rem til Huawei Watch D, remme til Huawei Watch D, Urrem til Huawei Watch D, urremme til Huawei Watch D, tilbehør til Huawei Watch D, armbånd til Huawei Watch D, sportsrem til Huawei Watch D, sportsremme til Huawei Watch D",[Huawei Watch D]
Garmin Edge 800\810,"Garmin Edge 800\810 rem, Garmin Edge 800\810 remme, Garmin Edge 800\810 urrem, Garmin Edge 800\810 urremme, Garmin Edge 800\810 tilbehør, Garmin Edge 800\810 armbånd, Garmin Edge 800\810 sportsrem, Garmin Edge 800\810 sportsremme, rem til Garmin Edge 800\810, remme til Garmin Edge 800\810, Urrem til Garmin Edge 800\810, urremme til Garmin Edge 800\810, tilbehør til Garmin Edge 800\810, armbånd til Garmin Edge 800\810, sportsrem til Garmin Edge 800\810, sportsremme til Garmin Edge 800\810",[Garmin Edge 800\810]
Suunto M1 M2 M4 M5,"Suunto M1 M2 M4 M5 rem, Suunto M1 M2 M4 M5 remme, Suunto M1 M2 M4 M5 urrem, Suunto M1 M2 M4 M5 urremme, Suunto M1 M2 M4 M5 tilbehør, Suunto M1 M2 M4 M5 armbånd, Suunto M1 M2 M4 M5 sportsrem, Suunto M1 M2 M4 M5 sportsremme, rem til Suunto M1 M2 M4 M5, remme til Suunto M1 M2 M4 M5, Urrem til Suunto M1 M2 M4 M5, urremme til Suunto M1 M2 M4 M5, tilbehør til Suunto M1 M2 M4 M5, armbånd til Suunto M1 M2 M4 M5, sportsrem til Suunto M1 M2 M4 M5, sportsremme til Suunto M1 M2 M4 M5",[Suunto M1 M2 M4 M5]
Amazfit Verge,"Amazfit Verge rem, Amazfit Verge remme, Amazfit Verge urrem, Amazfit Verge urremme, Amazfit Verge tilbehør, Amazfit Verge armbånd, Amazfit Verge sportsrem, Amazfit Verge sportsremme, rem til Amazfit Verge, remme til Amazfit Verge, Urrem til Amazfit Verge, urremme til Amazfit Verge, tilbehør til Amazfit Verge, armbånd til Amazfit Verge, sportsrem til Amazfit Verge, sportsremme til Amazfit Verge",[Amazfit Verge]
Fossil Sport Women's (41mm),"Fossil Sport Women's (41mm) rem, Fossil Sport Women's (41mm) remme, Fossil Sport Women's (41mm) urrem, Fossil Sport Women's (41mm) urremme, Fossil Sport Women's (41mm) tilbehør, Fossil Sport Women's (41mm) armbånd, Fossil Sport Women's (41mm) sportsrem, Fossil Sport Women's (41mm) sportsremme, rem til Fossil Sport Women's (41mm), remme til Fossil Sport Women's (41mm), Urrem til Fossil Sport Women's (41mm), urremme til Fossil Sport Women's (41mm), tilbehør til Fossil Sport Women's (41mm), armbånd til Fossil Sport Women's (41mm), sportsrem til Fossil Sport Women's (41mm), sportsremme til Fossil Sport Women's (41mm)",[Fossil Sport Women's (41mm)]
Haylou Solar LS02,"Haylou Solar LS02 rem, Haylou Solar LS02 remme, Haylou Solar LS02 urrem, Haylou Solar LS02 urremme, Haylou Solar LS02 tilbehør, Haylou Solar LS02 armbånd, Haylou Solar LS02 sportsrem, Haylou Solar LS02 sportsremme, rem til Haylou Solar LS02, remme til Haylou Solar LS02, Urrem til Haylou Solar LS02, urremme til Haylou Solar LS02, tilbehør til Haylou Solar LS02, armbånd til Haylou Solar LS02, sportsrem til Haylou Solar LS02, sportsremme til Haylou Solar LS02",[Haylou Solar LS02]
