Handle,Command,Title,Body HTML,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Metafield: title_tag [string],Metafield: description_tag [string],Template Suffix,Metafield: custom.belongs_to [single_line_text_field],Metafield: custom.bottom_description [multi_line_text_field]
12mm,Merge,12mm,"Vil du gøre dit smartwatch mere personligt? Vi har et stort sortiment af alle slags 12mm urremme, du finder remmene i massevis af farver og materialer. Så kan du finde netop den urrem, som du går og leder efter.",all conditions,Tag,Equals,12mm,12mm Remme | Største Udvalg i Danmark,Stort udvalg af remme til 12mm. Danmarks Største udvalg af Smartwatch urremme. Vi sender inden kl. 15 i dag.,,Universal,"<h2>12mm Remme</h2><p>Velkommen til danmarks største udvalg af 12mm remme! Hos urrem.dk finder du et stort sortiment af remme til 12mm. Vi har netop den rem, som du går og mangler.
Hvad enten du har brug for en erstatningrem, hvis din nuværende ikke holder længere eller hvis du har brug for en ekstra, så du har lidt af vælge i mellem.
Du kan finde smartwatch urremme i læder, metal, silikone og nylon, der er simpelthen mange muligheder for at personligegøre dit ur yderligere.</p>"
14mm,Merge,14mm,"Her kan du finde en ny 14mm urrem. Du er heldigvis landet på danmarks største udvalg af smartwatch remme, så du kan helt sikkert finde noget du kan bruge.",all conditions,Tag,Equals,14mm,14mm Urremme | Stort Udvalg,"Alle slags 14mm Urremme. Danmarks Største Udvalg. Gratis Levering ved køb over 199,-",,Universal,"<h2>14mm Remme</h2><p>Velkommen til danmarks største udvalg af 14mm remme! Hos urrem.dk finder du et stort sortiment af remme til 14mm. Vi har netop den rem, som du går og mangler.
Hvad enten du har brug for en erstatningrem, hvis din nuværende ikke holder længere eller hvis du har brug for en ekstra, så du har lidt af vælge i mellem.
Du kan finde smartwatch urremme i læder, metal, silikone og nylon, der er simpelthen mange muligheder for at personligegøre dit ur yderligere.</p>"
16mm,Merge,16mm,Er det på tide at udskifte remmen? Du finder et vælg af <b>16mm urremme</b> her hos Danmarks største udvalg.,all conditions,Tag,Equals,16mm,"16mm Urremme | Giga Udvalg - Fri Fragt over 199,-","Velkommen til et hav af 16mm Urremme. Bestil inden kl. 15 og vi sender samme dag. Fri Fragt ved køb over 199,-",,Universal,"<h2>16mm Urremme</h2><p>Trænger du til nyt look, så kan en af vores mange 16mm urremme gøre det for dig. Der skal faktisk ikke så meget til før at dit ur kommer til at se anderledes ud. Hvis du f.eks har en siliconerem eller en læderrem, så udstråler du hurtigt et helt andet udtryk. Med vores remme til 16mm har du mangler muligheder for at finde det look som passer til din dag og smartwatch.
Du kan have en læderurrem til forretningsmødet og en silikoneurrem til løbeturen. Vi tilbyder <b>gratis fragt</b>, når du køber for mere end 199kr, så du kan benytte muligheden for at fylde skuffen op med ekstraremme, så du har noget at vælge i mellem</p>"
17mm,Merge,17mm,"Leder du efter en ny 17mm urrem? Så er du kommet til det rigtige sted! Vi har et hav af remme. Du finder <b>Danmarks største udvalg</b>, til at priser der er til at betale. Køb netop den rem, der passer perfekt ind til din livsstil. Husk at fylder du kurven for mere end 199KR, så betaler vi forsendelsen.",all conditions,Tag,Equals,17mm,17mm Urremme | Gigantisk Udvalg,Lækre remme til 17mm. Kæmpe Udvalg. Hurtig Levering og FRI Fragt over 199kr.,,Universal,"<h2>Urremme til 17mm</h2><p>Velkommen til danmarks største udvalg af <b>urremme til 17mm</b>. Vi har vores varehus proppet med alle slage remme, som du kan bestille i dag.
Vi har både elegante remme i metal eller læder, der passer til hverdagen og vi har bløde silikone urremme, der passer til den aktive livsstil.
Fælles for dem alle er at det er til billige priser, der er til at betale. Alle vores uremme er også nemme at skifte.</p>"
18mm,Merge,18mm,Danmarks Bedste Udvalg af 18mm urremme. Den rem du leder efter finder du her på siden. Vi har i mange forskellige materialer og stilarter. Find den urrem du mangler i dag!,all conditions,Tag,Equals,18mm,18mm Urremme | Danmarks Største Udvalg af remme til 18mm,"Kæmpe Udvalg af 18mm Urremme. Køb for 199,- og vi betaler Fragten. Hurtigt Service. Danmarks Største Udvalg af Remme.",,Universal,"<h2>18mm Rem</h2><p>Velkommen til din nye 18mm rem, som du har ledt efter! Vores lager er fyldt med remme til 18mm i alle slags farver og materialer, så har du rig mulighed for at finde lige den urrem som passer til dig, dit håndled, ur og dagligdag. Du finder urremme i forskellige materialer og farver, som gør at du kan finde en urrem, der passer til din dag, uanset om det er en ganske almindelig dag, eller det er en særlig begivenhed. 
Hvis du mangler en erstatningsrem til dit smartwatch i tilfælde af, at din nuværende rem bliver for slidt, så har vi også en lange rækkke billige 18mm remme, som er klar til at blive sendt hjem til dig i dag. Velkommen til danmarks største udvalg af 18mm remme!</p>"
19mm,Merge,19mm,"De bedste urremme til 19mm. Mangler du en ny rem til løbeturen eller når du skal til møde? Vi tilbyder alle slags remme, der passer til dig og dit smartwatch. <b>Gratis Fragt</b> ved køb for mere end 199kr.",all conditions,Tag,Equals,19mm,"19mm Remme | Gratis Fragt over 199,-","Mangler du en ny 19mm urrem? Her finder du et stort udvalg af alle slags remme. GRATIS fragt ved køb over 199,-",,Universal,"<h2>Urremme til 19mm</h2><p>Velkommen til danmarks største udvalg af <b>urremme til 19mm</b>. Vi har vores varehus proppet med alle slage remme, som du kan bestille i dag.
Vi har både elegante remme i metal eller læder, der passer til hverdagen og vi har bløde silikone urremme, der passer til den aktive livsstil.
Fælles for dem alle er at det er til billige priser, der er til at betale. Alle vores uremme er også nemme at skifte.</p>"
20mm,Merge,20mm,"Velkommen til et godt udvalg af 20mm urremme. Fylder du kurven for mere end 199kroner, så får du <b>gratis levering.</b>.",all conditions,Tag,Equals,20mm,20mm Remme | Danmarks Største Udvalg af remme til 20mm,"Kæmpe Udvalg af 20mm Urremme. Køb for 199,- og vi betaler Fragten. Hurtigt Service. Danmarks Største Udvalg af Remme.",,Universal,"<h2>20mm Remme</h2><p>Velkommen til danmarks største udvalg af 20mm remme! Hos urrem.dk finder du et stort sortiment af remme til 20mm. Vi har netop den rem, som du går og mangler.
Hvad enten du har brug for en erstatningrem, hvis din nuværende ikke holder længere eller hvis du har brug for en ekstra, så du har lidt af vælge i mellem.
Du kan finde smartwatch urremme i læder, metal, silikone og nylon, der er simpelthen mange muligheder for at personligegøre dit ur yderligere.</p>"
22mm,Merge,22mm,"Enormt udvalg af urremme til 22mm . Vi har helt sikkert en rem, som du kan bruge.",all conditions,Tag,Equals,22mm,22mm Remme | Bedste Udvalg Urremme til 22mm,"Uremme til 22mm hos Danmarks Største Udvalg. Bestil inden. Kl 15 og vi sender i Dag. Køb for mere end 199,- og du får Gratis Fragt.",,Universal,"<h2>22mm Rem</h2><p>Velkommen til din nye 22mm rem, som du har ledt efter! Vores lager er fyldt med remme til 22mm i alle slags farver og materialer, så har du rig mulighed for at finde lige den urrem som passer til dig, dit håndled, ur og dagligdag. Du finder urremme i forskellige materialer og farver, som gør at du kan finde en urrem, der passer til din dag, uanset om det er en ganske almindelig dag, eller det er en særlig begivenhed. 
Hvis du mangler en erstatningsrem til dit smartwatch i tilfælde af, at din nuværende rem bliver for slidt, så har vi også en lange rækkke billige 22mm remme, som er klar til at blive sendt hjem til dig i dag. Velkommen til danmarks største udvalg af 22mm remme!</p>"
24mm,Merge,24mm,"Her kan du finde en ny 24mm urrem. Du er heldigvis landet på danmarks største udvalg af smartwatch remme, så du kan helt sikkert finde noget du kan bruge.",all conditions,Tag,Equals,24mm,"24mm Urremme | Remme & Tilbehør - Fri Fragt over 199,-","Mangler du en ny 24mm urrem? Her finder du et stort udvalg af alle slags remme. GRATIS fragt ved køb over 199,-",,Universal,"<h2>24mm Urrem</h2><p>Hvis det er på tide at udskifte din nuværende 24mm urrem, så er du havnet det rigtige sted. Her har du nemlig et hav af muligheder, for at give dit smartwatch et helt nyt look.
Hvad enten du skal bruge dit ur til festlige begivenheder, til hverdag eller sport. Vores lager er fyldt med remme til 24mm i mange forskellige farver og materialer, så du har rig mulighed for at finde netop den rem, som du måtte mangle. Husk at hvis du køber for mere end 199kr, betaler vi fragten. Så hvorfor ikke købe en ekstra? Så har du flere forskellige urremme, som du kan skifte efter behov.</p>"
amazfit,Merge,Amazfit,"Skal du bruge en ny Amazfit urrem til enten træning eller hverdagen, så har vi heldigvis et hav af forskellige remme, som du kan vælge imellem.",all conditions,Tag,Equals,Amazfit,"Amazfit Rem | Hurtig & Gratis Fragt over 199,-","Velkommen til et hav af Amazfit Urremme. Bestil inden kl. 15 og vi sender samme dag. Fri Fragt ved køb over 199,-",,,"<h2>De bedste Amazfit Remme</h2><p>Leder du efter de bedste Amazfit remme? Så kan du godt indstille jagten nu, fordi du er havnet på Danmarks bedste udvalg af smartwatch urremme.
Vores sortiment vokser hele tiden, så du har altid mange muligheder for at finde den rem, som du har behov for.
Vi har remme til alle Amazfits modeller, inde på hver produkt side, kan du se hvilke modeller urremmen passer til.
Husk at du altid får fri levering, når du køber for mere end 199kr.</p>"
