Handle,Variant SKU,Variant Barcode,Title,Command,Variant Command,Tags Command,Body (HTML),Vendor,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Variant Image,Image Src,Image Alt Text,Image Position,SEO Title,SEO Description,Status,Variant Country of Origin,Type: Standard ID,Type: Standard Name,Type: Standard,Metafield: custom.compatible_with [list.single_line_text_field],Metafield: custom.multiple_material [list.single_line_text_field],Metafield: custom.storrelse [single_line_text_field],Variant Metafield: custom.farve [list.color],Metafield: mm-google-shopping.custom_product [string]
LCW01-32-043,LCW01-32-043-4,5714864204584,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Case for Apple Watch Series 3/2/1 42mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6.5cm+4.5cm+2cm    Product weight: about 21g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 3 42mm    Apple Watch Series 2 42mm    Apple Watch Series 1 42mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,4,Farve,Grå,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-4.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-4.jpg,#serie_4,1,,,active,SE,,,,,,,#808080,false
LCW01-32-043,LCW01-32-043-5,5714864204591,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Case for Apple Watch Series 3/2/1 42mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6.5cm+4.5cm+2cm    Product weight: about 21g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 3 42mm    Apple Watch Series 2 42mm    Apple Watch Series 1 42mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,5,Farve,Pink,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-5.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-5.jpg,#serie_5,1,,,active,SE,,,,,,,#e024c4,false
LCW01-32-043,LCW01-32-043-6,5714864204607,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Case for Apple Watch Series 3/2/1 42mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6.5cm+4.5cm+2cm    Product weight: about 21g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 3 42mm    Apple Watch Series 2 42mm    Apple Watch Series 1 42mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,6,Farve,Pink,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-6.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-6.jpg,#serie_6,1,,,active,SE,,,,,,,#e024c4,false
LCW01-32-043,LCW01-32-043-7,5714864204614,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Case for Apple Watch Series 3/2/1 42mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6.5cm+4.5cm+2cm    Product weight: about 21g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 3 42mm    Apple Watch Series 2 42mm    Apple Watch Series 1 42mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,7,Farve,Gennemsigtig,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-7.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-7.jpg,#serie_7,1,,,active,SE,,,,,,,#e8e8e8,false
LCW01-32-043,LCW01-32-043-8,5714864204621,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Case for Apple Watch Series 3/2/1 42mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6.5cm+4.5cm+2cm    Product weight: about 21g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 3 42mm    Apple Watch Series 2 42mm    Apple Watch Series 1 42mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,8,Farve,Gennemsigtig,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-8.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-8.jpg,#serie_8,1,,,active,SE,,,,,,,#e8e8e8,false
LCW01-32-043,LCW01-32-043-9,5714864204638,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Case for Apple Watch Series 3/2/1 42mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6.5cm+4.5cm+2cm    Product weight: about 21g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 3 42mm    Apple Watch Series 2 42mm    Apple Watch Series 1 42mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,9,Farve,Grøn,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-9.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-9.jpg,#serie_9,1,,,active,SE,,,,,,,#29ad29,false
LCW01-68-092,LCW01-68-092-1,5714864204645,Apple Watch Series 5 40mm Glas Skærmbeskytter,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Cover for Apple Watch Series 4/5 40mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6cm+4cm+1.5cm    Product weight: about 20g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 5 40mm    Apple Watch Series 4 40mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",Apple,"Apple, Apple Watch, Apple Watch Series 5 40mm, Apple Watch Series 5, Apple Watch 40mm, Apple Watch Series",Serie,1,Farve,Sort,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-68-092-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-68-092-1.jpg,#serie_1,1,,,active,SE,1549,Screen Protectors,Electronics > Electronics Accessories > Electronics Films & Shields > Screen Protectors,"Apple Watch Series 5 40mm, Apple Watch 40mm",Glas,,#000000,false
LCW01-68-092,LCW01-68-092-2,5714864204652,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Cover for Apple Watch Series 4/5 40mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6cm+4cm+1.5cm    Product weight: about 20g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 5 40mm    Apple Watch Series 4 40mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,2,Farve,Gennemsigtig,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-68-092-2.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-68-092-2.jpg,#serie_2,1,,,active,SE,,,,,,,#e8e8e8,false
LCW01-68-092,LCW01-68-092-3,5714864204669,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Cover for Apple Watch Series 4/5 40mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6cm+4cm+1.5cm    Product weight: about 20g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 5 40mm    Apple Watch Series 4 40mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,3,Farve,Grå,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-68-092-3.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-68-092-3.jpg,#serie_3,1,,,active,SE,,,,,,,#808080,false
LCW01-68-092,LCW01-68-092-4,5714864204676,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Cover for Apple Watch Series 4/5 40mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6cm+4cm+1.5cm    Product weight: about 20g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 5 40mm    Apple Watch Series 4 40mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,4,Farve,Grå,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-68-092-4.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-68-092-4.jpg,#serie_4,1,,,active,SE,,,,,,,#808080,false
