Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW37-03-001-5,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5-D.jpg,#serie_5,2,MERGE
LCW37-03-001-6,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6-D.jpg,#serie_6,2,MERGE
LCW37-03-001-7,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7-D.jpg,#serie_7,2,MERGE
LCW37-03-001-8,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8-D.jpg,#serie_8,2,MERGE
LCW37-00-001-1,https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-1-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-1-f.jpg,#serie_1,2,MERGE
LCW37-00-001-2,https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-2-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-2-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-2-d.jpg,#serie_2,2,MERGE
LCW37-00-001-3,https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-3-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-3-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-3-d.jpg,#serie_3,2,MERGE
LCW37-00-001-4,https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-4-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-4-d.jpg,#serie_4,2,MERGE
LCW37-00-001-5,https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-5-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-5-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-5-d.jpg,#serie_5,2,MERGE
LCW37-00-001-6,https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-6.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-6-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-6-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-6-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-001-6-d.jpg,#serie_6,2,MERGE
