Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW45-22-002-6,https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-6.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-6-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-6-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-6-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-6-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-6-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-6-f.jpg,#serie_6,2,MERGE
LCW45-22-002-7,https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-7.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-7-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-7-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-7-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-7-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-7-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-7-f.jpg,#serie_7,2,MERGE
LCW45-22-002-2,https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-2-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-2-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-2-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-2-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-2-f.jpg,#serie_2,2,MERGE
LCW45-09-006-1,https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-1-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-1-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-1-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-1-h.jpg,#serie_1,2,MERGE
LCW45-09-006-3,https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-3-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-3-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-3-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-3-e.jpg,#serie_3,2,MERGE
LCW45-09-006-4,https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-4-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-4-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-4-e.jpg,#serie_4,2,MERGE
LCW45-09-006-2,https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-2-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-2-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-2-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-2-e.jpg,#serie_2,2,MERGE
LCW45-09-006-5,https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-5-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-5-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-5-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-09-006-5-e.jpg,#serie_5,2,MERGE
LCW45-10-004-1,https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-1-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-1-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-1-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-1-h.jpg,#serie_1,2,MERGE
LCW45-10-004-3,https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-3-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-3-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-3-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-10-004-3-e.jpg,#serie_3,2,MERGE
