Handle,Variant SKU,Variant Barcode,Title,Command,Variant Command,Tags Command,Body (HTML),Vendor,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Variant Image,Image Src,Image Alt Text,Image Position,SEO Title,SEO Description,Status,Variant Country of Origin,Type,Type: Standard,Metafield: custom.compatible_with [list.single_line_text_field],Metafield: custom.multiple_material [list.single_line_text_field],Metafield: custom.storrelse [single_line_text_field],Variant Metafield: custom.farve [list.color],Metafield: mm-google-shopping.custom_product [string]
LCW01-55-027,LCW01-55-027-1,5714011913635,Tidsløst Apple Watch Series 4 40mm Stof Urrem,MERGE,MERGE,MERGE,Smuk Apple Watch Series 4 40mm rem. <br/><b><i><b>Bemærk</b> at uret ikke følger med.</i></b>,Apple,Apple Watch Series 4 40mm,Serie,1,Farve,Sort,,,100,shopify,0,deny,manual,199,239,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-1.jpg,Tidsløst Apple Watch Series 4 40mm Stof Urrem - Sort#serie_1,1,,,active,SE,Urrem,Apparel & Accessories > Jewelry > Watch Accessories,Apple Watch Series 4 40mm,Stof,,#000000,false
LCW01-55-027,LCW01-55-027-2,5714011913642,,MERGE,MERGE,MERGE,,,,Serie,2,Farve,Flerfarvet,,,100,shopify,1,deny,manual,199,239,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-2.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-2.jpg,Tidsløst Apple Watch Series 4 40mm Stof Urrem - Flerfarvet#serie_2,1,,,active,SE,,,,,,,false
LCW01-55-027,LCW01-55-027-3,5714011913659,,MERGE,MERGE,MERGE,,,,Serie,3,Farve,Beige,,,100,shopify,0,deny,manual,199,239,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-3.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-3.jpg,Tidsløst Apple Watch Series 4 40mm Stof Urrem - Beige#serie_3,1,,,active,SE,,,,,,#c2c4a1,false
LCW01-55-027,LCW01-55-027-4,5714011913666,,MERGE,MERGE,MERGE,,,,Serie,4,Farve,Grøn,,,100,shopify,0,deny,manual,199,239,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-4.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-4.jpg,Tidsløst Apple Watch Series 4 40mm Stof Urrem - Grøn#serie_4,1,,,active,SE,,,,,,#29ad29,false
LCW01-55-027,LCW01-55-027-5,5714011913673,,MERGE,MERGE,MERGE,,,,Serie,5,Farve,Flerfarvet,,,100,shopify,1,deny,manual,199,239,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-5.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-5.jpg,Tidsløst Apple Watch Series 4 40mm Stof Urrem - Flerfarvet#serie_5,1,,,active,SE,,,,,,,false
LCW01-55-027,LCW01-55-027-6,5714011913680,,MERGE,MERGE,MERGE,,,,Serie,6,Farve,Blå,,,100,shopify,0,deny,manual,199,239,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-6.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-6.jpg,Tidsløst Apple Watch Series 4 40mm Stof Urrem - Blå#serie_6,1,,,active,SE,,,,,,#0430e0,false
LCW01-55-027,LCW01-55-027-7,5714011913697,,MERGE,MERGE,MERGE,,,,Serie,7,Farve,Flerfarvet,,,100,shopify,0,deny,manual,199,239,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-7.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-55-027-7.jpg,Tidsløst Apple Watch Series 4 40mm Stof Urrem - Flerfarvet#serie_7,1,,,active,SE,,,,,,,false
