product_type;eng;dk;se
Charger;Charger;Oplader;Laddare
Bumper;Bumper;Bumper;Bumper
Cover;Cover;Cover;Skal
Kit;Kit;Kit;Kit
Screen Protector;Screen Protector;Skærmbeskytter;Skärmskydd
Watch Band;Watch Band;Urrem;Klockarmband
